GridDelta;1.35
SensorWidth;1024
SensorHeight;1024
CorrectionFactor;1
OrigX;512
OrigY;512
MaxDist;20
TriangAngleRad;0.693594
GridCoordinates
YAvg; x00; y00; x01; y01; x02; y02; x03; y03; x04; y04; x05; y05; x06; y06; x07; y07; x08; y08; x09; y09; x10; y10; x11; y11; x12; y12; x13; y13; x14; y14; x15; y15; x16; y16; x17; y17; x18; y18;
  46;  47;  48; 115;  47; 183;  47; 251;  47; 319;  46; 387;  46; 456;  46; 524;  45; 591;  45; 659;  45; 728;  44; 795;  44; 864;  44; 932;  43;1000;  43;
  94;  52;  96; 119;  96; 186;  96; 254;  95; 321;  95; 389;  95; 456;  94; 524;  94; 591;  94; 658;  93; 725;  93; 793;  92; 860;  92; 927;  92; 995;  91;
 142;  57; 144; 123; 143; 190; 143; 257; 143; 323; 142; 390; 142; 457; 142; 523; 141; 590; 141; 657; 141; 723; 141; 790; 140; 856; 140; 923; 140; 990; 139;
 189;  61; 191; 127; 190; 193; 190; 260; 190; 326; 189; 392; 189; 458; 189; 524; 188; 589; 188; 655; 187; 721; 187; 787; 187; 853; 186; 919; 186; 985; 186;
 234;  66; 236; 131; 236; 197; 236; 262; 235; 328; 235; 393; 235; 458; 234; 524; 234; 589; 234; 654; 233; 719; 233; 784; 233; 850; 232; 915; 232; 980; 232;
 279;  71; 281; 135; 281; 200; 281; 265; 280; 330; 280; 394; 280; 459; 279; 524; 279; 588; 278; 653; 278; 717; 278; 782; 277; 846; 277; 911; 277; 976; 276;
 323;  12; 325;  75; 325; 139; 325; 203; 324; 267; 324; 332; 324; 396; 323; 460; 323; 524; 323; 588; 322; 651; 322; 715; 322; 779; 321; 843; 321; 907; 321; 971; 321;
 366;  17; 368;  80; 368; 143; 368; 207; 367; 270; 367; 333; 367; 397; 366; 460; 366; 524; 366; 587; 365; 650; 365; 714; 365; 777; 364; 840; 364; 903; 364; 967; 363;
 409;  22; 411;  84; 410; 147; 410; 210; 410; 273; 409; 335; 409; 398; 409; 461; 408; 524; 408; 586; 408; 649; 407; 712; 407; 774; 407; 837; 406; 900; 406; 962; 406;
 450;  27; 452;  89; 452; 151; 451; 213; 451; 275; 450; 337; 450; 399; 450; 462; 449; 524; 449; 586; 449; 648; 448; 710; 448; 772; 448; 834; 447; 896; 447; 958; 446;
 490;  31; 493;  93; 492; 154; 492; 216; 491; 277; 491; 339; 491; 401; 490; 462; 490; 524; 490; 585; 489; 647; 489; 708; 489; 770; 488; 831; 488; 893; 488; 954; 487;
 530;  36; 532;  97; 532; 158; 532; 219; 531; 280; 531; 341; 531; 402; 530; 463; 530; 524; 530; 585; 529; 645; 529; 706; 529; 767; 528; 828; 528; 889; 528; 950; 527;1010; 527;
 569;  41; 571; 101; 571; 161; 570; 222; 570; 282; 570; 342; 569; 403; 569; 463; 569; 524; 568; 584; 568; 644; 568; 705; 567; 765; 567; 825; 567; 886; 566; 946; 566;1006; 566;
 607;  45; 610; 105; 609; 165; 609; 224; 608; 284; 608; 344; 608; 404; 607; 464; 607; 524; 607; 584; 606; 643; 606; 703; 606; 763; 605; 823; 605; 882; 605; 942; 604;1001; 604;
 645;  50; 647; 109; 647; 168; 646; 227; 646; 287; 646; 346; 645; 405; 645; 465; 645; 524; 645; 583; 644; 642; 644; 701; 644; 761; 643; 820; 643; 879; 643; 938; 642; 997; 642;
 682;  54; 684; 113; 684; 171; 683; 230; 683; 289; 683; 347; 682; 406; 682; 465; 682; 524; 681; 583; 681; 641; 681; 700; 680; 758; 680; 817; 680; 876; 679; 934; 679; 993; 679;
 718;  58; 720; 116; 720; 174; 720; 233; 719; 291; 719; 349; 719; 407; 718; 466; 718; 524; 718; 582; 717; 640; 717; 698; 717; 756; 716; 814; 716; 872; 716; 931; 715; 988; 715;
 754;  62; 756; 120; 755; 178; 755; 235; 755; 293; 754; 351; 754; 408; 754; 466; 753; 524; 753; 582; 753; 639; 752; 697; 752; 754; 752; 812; 752; 869; 751; 927; 751; 984; 751;
 789;  11; 791;  66; 791; 124; 790; 181; 790; 238; 790; 295; 789; 352; 789; 410; 789; 467; 788; 524; 788; 581; 788; 638; 787; 695; 787; 752; 787; 809; 786; 866; 786; 923; 786; 980; 785;
 823;  15; 825;  70; 825; 127; 825; 184; 824; 240; 824; 297; 824; 354; 823; 411; 823; 467; 823; 524; 822; 581; 822; 637; 822; 694; 821; 750; 821; 807; 821; 863; 820; 920; 820; 976; 820;
 857;  19; 859;  74; 859; 131; 859; 187; 858; 243; 858; 299; 858; 355; 857; 412; 857; 468; 857; 524; 856; 580; 856; 636; 855; 692; 855; 748; 855; 804; 854; 860; 854; 916; 854; 972; 853;
 890;  23; 892;  78; 892; 134; 892; 190; 891; 245; 891; 301; 891; 357; 890; 413; 890; 468; 890; 524; 889; 580; 889; 635; 889; 691; 888; 746; 888; 802; 888; 857; 887; 913; 887; 969; 887;
 923;  27; 925;  82; 924; 138; 924; 193; 924; 248; 923; 303; 923; 358; 923; 414; 922; 469; 922; 524; 922; 579; 922; 634; 921; 689; 921; 745; 921; 799; 920; 854; 920; 910; 920; 965; 919;
 954;  31; 957;  86; 956; 141; 956; 195; 956; 250; 955; 305; 955; 360; 955; 414; 954; 469; 954; 524; 954; 579; 953; 633; 953; 688; 953; 743; 952; 797; 952; 852; 952; 906; 952; 961; 951;
 986;  35; 988;  90; 988; 144; 988; 198; 987; 252; 987; 307; 987; 361; 986; 415; 986; 470; 986; 524; 985; 578; 985; 632; 985; 686; 984; 741; 984; 795; 984; 849; 984; 903; 983; 958; 983;1009; 984;
